1st Target:,UBL,UBR,UFL,LUB,LUF,LDF,LDB,FUL,FDR,FDL,RUB,RDB,RDF,BUR,BUL,BDL,BDR,DFL,DFR,DBR,DBL,,,,
UBL,,"[l' : [R' D2 R , U]]","[R' U' D' : [R' D R , U']]",,"[l D R' : [F2 , R D' R' D']]","[U2 , R' D R]","[U : [R D' R' , U2]]","[l' U' D' : [R D R' , U2]]","[U D : [R D R' , U2]]","[D' U : [R D' R' , U2]]","[R' U D R : [D' , R U' R']]","[U : [R D R' , U2]]","[U2 , R' D' R]","[R' U' D : [R D R' , U2]]",,"[U D' : [R D R' , U2]]","[U D : [R D' R' , U2]]","[R F' R' U : [R D R' , U2]]","[R2 : [R2 D R2 D' R2 , U]]","[R D' R' : [U2 , R' D R]]","[R' U' D' R : [D , R U' R']]",,,,
UBR,"[l' : [U , R' D2 R]]",,"[R F R' : [U , R' D' R]]","[R : [R D R' , U]]","[l U l' , F]","[U , R' D R]","[R D' R' , U']","[R : [R D R' , U2]]","[D' : [U , R' D R]]","[D : [U , R' D' R]]",,"[R D R' , U']","[U , R' D' R]",,"[R' : [U2 , R' D' R]]","[D' : [R D R' , U']]","[D : [R D' R' , U']]","[R F' : [D , R' U' R]]","[U , R' D R U' R D' R']","[R D' R' U R' D R , U']","[R' B : [R U R' , D']]",,,,
UFL,"[R' D' U : [U , R' D R]]","[R F R' : [R' D' R , U]]",,"[U' R : [U2 , R D R']]",,"[U' , R' D R]","[U2 : [R D' R' , U]]",,"[D' : [U' , R' D R]]","[D : [U' , R' D' R]]","[U' R' : [R' D' R , U2]]","[U2 : [R D R' , U]]","[U' , R' D' R]","[R' D' : [R' D R , U']]","[U' R' : [R' D' R , U']]","[D : [U' , R' D R]]","[D' : [U' , R' D' R]]","[U' : [F2 , U R' U' R]]","[U' , R' D U' R D' R']","[R D' R' : [U' , R' D R]]","[R' D' R : [D , R U' R']]",,,,
LUB,,"[R : [U , R D R']]","[U' R : [R D R' , U2]]",,"[U' : [R' U R U' , F]]","[U R' : [R' D R , U']]","[R D' : [U , R D R']]","[l' U' : [R D' R' , U2]]",U' R' F R U R U' R' F' R U R',"[R U : [U , R' D R]]","[R : [U , R2 D R2 D' R2]]","[U' R : [D' , R U' R']]","[U R' U' : [R D R' , U']]","[F' L F , R']",,"[U D R' : [R' D R , U']]","[R U : [U , R' D' R]]","[D' R : [U , R D' R']]","[U R' D' : [R' D' R , U']]","[D R : [U , R D' R']]","[R : [U , R D' R']]",,,,
LUF,"[l D R' : [R D' R' D' , F2]]","[F , l U l']",,"[U' : [F , R' U R U']]",,"[R' U' : [R U R' , D]]","[U' R U' : [R' U R , D']]",,"[R : [R' U R U' , F]]","[D R' U' : [R U R' , D']]","[R U' D' R' : [R' U R , D]]","[U' R U' : [R' U R , D]]","[R' U' : [R U R' , D']]","[R' F : [D , R U R']]","[F , l U' l']","[F , l U2 l']","[F : [R U R' , D']]","[U' R' U : [D , R U' R']]","[U' D' R' U : [D , R U' R']]","[R U' R' : [R' U R , D]]","[U' D R' U : [D , R U' R']]",,,,
LDF,"[R' D R , U2]","[R' D R , U]","[R' D R , U']","[U R' : [U' , R' D R]]","[R' U' : [D , R U R']]",,"[R' D R : [R U R' , D]]","[D R' : [R D' R' D , F2]]","[U : [R U' R' , D]]",,"[U R U' : [R' D R , U2]]","[U D' : [R U' R' , D2]]","[U R' D' : [R U' R' , D2]]","[R' U : [D , R U' R']]","[U' R' D : [R' D' R , U']]","[U D : [D , R U' R']]","[R' D R : [R U R' , D']]",,"[U D R D' : [R' D R , U']]","[U R : [R U' R' , D]]","[D R : [F2 , R' U R U']]",,,,
LDB,"[U' : [R D' R' , U2]]","[U' , R D' R']","[U' : [R D' R' , U']]","[R D' : [R D R' , U]]","[U' R U' : [D' , R' U R]]","[R' D R : [D , R U R']]",,"[D R U : [R' D R , U2]]","[U R U2 : [R D' R' , U]]","[D : [R U R' , D]]","[U R : [U2 , R D' R']]","[R D : [R' U R , D2]]","[R U R' , D2]","[R , U' L U]","[U2 R : [U , R D' R']]",,"[D' : [R U R' , D']]","[D L' U: [U' L U L' , F2]]","[D : [U L' U' , R2]]","[R D' R' : [U , R' D R]]",,,,,
FUL,"[l' D' U : [R D R' , U2]]","[R : [U2 , R D R']]",,"[l' U : [R D' R' , U2]]",,"[D R' : [F2 , R D' R' D]]","[D' R U' : [R' D' R , U2]]",,"[R' : [F2 , R D' R' D]]","[R U' : [R' D R , U2]]",L�f f l2 F�f D F D�fl2�f U f�f,"[D' R' : [F2 , R D' R' D]]","[D R U' : [R' D' R , U2]]","[R D' U' : [R' D' R , U2]]","[R2 U' R U' : [R' D' R , U2]]","[D2 R' : [F2 , R D' R' D]]","[R U' : [R' D' R , U2]]","[L : [L' D L D' , F2]]","[D' L : [L' D L D' , F2]]","[D R : [U2 , R D' R']]","[R : [U2 , R D' R']]",,,,
FDR,"[D U' : [R D R' , U2]]","[D' : [R' D R , U]]","[D' : [R' D R , U']]",R U' R' F R U R' U' R' F' R U,"[R : [F , R' U R U']]","[U : [D , R U' R']]","[U R U' : [R D' R' , U']]","[R' : [R D' R' D , F2]]",,"[F : [R U' R' , D]]","[U' R' U' : [R D R' , U2]]","[U : [D' , R U' R']]",,"[D' R' U : [D , R U' R']]","[U' R' U' : [R D R' , U']]","[U D2 : [R U' R' , D2]]","[D R D' : [R' U' R , D2]]","[R : [F2 , R' U R U']]",,"[U R D' : [R' D R , U']]","[R , U L2 U']",,,,
FDL,"[D' U' : [R D' R' , U2]]","[D : [R' D' R , U]]","[D : [R' D' R , U']]","[R U : [R' D R , U]]","[D R' U' : [D' , R U R']]",,"[D2 : [R U R' , D']]","[R U : [R' D R , U2]]","[F : [R U' R' , D]]",,"[U L : [L' D L D' , F2]]","[R D : [R' U' R , D]]","[R U R' , D]","[R' F : [D , R U' R']]","[D R' : [R' U R , D]]","[D' R D : [R' U' R , D2]]","[D' : [R U R' , D2]]",,"[L' U: [U' L U L' , F2]]","[D R : [U' , R D' R']]","[D R D : [R' D' R , U]]",,,,
